CAS,Name,Formula,Elements,Mw
100-00-5,"Benzene, 1-chloro-4-nitro-",C6H4ClNO2,"['C', 'H', 'Cl', 'N', 'O']",156.9930560549014
100-01-6,p-Nitroaniline,C6H6N2O2,"['C', 'H', 'N', 'O']",138.0429274414414
100-02-7,"Phenol, 4-nitro-",C6H5NO3,"['C', 'H', 'N', 'O']",139.0269430243421
100043-29-6,2H-Tetrazole,CH2N4,"['C', 'H', 'N']",70.027946082206
100046-00-2,"2,2,4,4',6,6'-Hexamethylazobenzene N,N'-dioxide",C18H22N2O2,"['C', 'H', 'N', 'O']",298.16812795726537
100057-61-2,"Cyclohexanol, 2-(9h-purin-9-yl)-, trans-",C11H14N4O,"['C', 'H', 'N', 'O']",218.1167610886457
100058-19-3,"9H-purine, 9-cyclohex-2-enyl-6-hydrazino-",C11H14N6,"['C', 'H', 'N']",230.127994477938
100-06-1,"Acetophenone, 4'-methoxy-",C9H10O2,"['C', 'H', 'O']",150.0680795615334
100062-58-6,"3-(2,2,2-Trichloro-1,1-dimethylethoxy)-2-benzofuran-1(3h)-one",C12H11Cl3O3,"['C', 'H', 'Cl', 'O']",307.9773772604541
100062-67-7,"2-(2,4,5-Trichlorophenoxy)propyl 2,2-dichloropropanoate",C12H11Cl5O3,"['C', 'H', 'Cl', 'O']",377.9150826251941
1000-63-1,1-Tert-butoxybutane,C8H18O,"['C', 'H', 'O']",130.1357651998737
100-07-2,4-Methoxybenzoic acid chloride,C8H7ClO2,"['C', 'H', 'Cl', 'O']",170.01345714718641
1000-86-8,(CH3)2C=CHC(CH3)=CH2,C7H12,"['C', 'H']",96.093900386868
10008-73-8,Gamma-methylene-gamma-butyrolactone,C5H6O2,"['C', 'H', 'O']",98.0367794325774
1000-87-9,"2,3-Pentadiene, 2,4-dimethyl-",C7H12,"['C', 'H']",96.093900386868
100-09-4,"Benzoic acid, 4-methoxy-",C8H8O3,"['C', 'H', 'O']",152.0473441166271
100096-59-1,"Carbanilic acid, 2-tert-butyl-, ethyl ester",C13H19NO2,"['C', 'H', 'N', 'O']",221.1415788561164
100098-21-3,"1,7-Diazabicyclo[5.3.1]undecane",C9H18N2,"['C', 'H', 'N']",154.146998589166
100098-22-4,"1,8-Diazabicyclo[6.3.1]dodecane",C10H20N2,"['C', 'H', 'N']",168.162648653644
100098-23-5,"1,5-Diazatricyclo[4.2.2.2<sup>2,5</sup>]dodecane",C10H18N2,"['C', 'H', 'N']",166.146998589166
100-10-7,"Benzaldehyde, 4-(dimethylamino)-",C9H11NO,"['C', 'H', 'N', 'O']",149.08406397863268
10010-93-2,"1H-Pyrazole, 3-methyl-5-(trifluoromethyl)-",C5H5F3N2,"['C', 'H', 'F', 'N']",150.0404826582766
100-11-8,"Benzene, 1-(bromomethyl)-4-nitro-",C7H6BrNO2,"['C', 'H', 'Br', 'N', 'O']",214.95819105100938
100120-21-6,"2-(4-Chloro-o-toloxy)ethyl alpha,alpha-dichloropropionate",C12H13Cl3O3,"['C', 'H', 'Cl', 'O']",309.9930273249321
100123-38-4,"4-P-bromoanilino-6-methyl-1,3,3a,7-tetrazaindene",C12H10BrN5,"['C', 'H', 'Br', 'N']",303.01195795855
100-12-9,"Benzene, 1-ethyl-4-nitro-",C8H9NO2,"['C', 'H', 'N', 'O']",151.0633285337264
1001-31-6,"Decane, 5-chloro-",C10H21Cl,"['C', 'H', 'Cl']",176.133178359389
100136-11-6,"2-Methyl-2-(2,4,5-trichlorophenoxy)ethyl 2,2,3-trichloropropionate",C12H10Cl6O3,"['C', 'H', 'Cl', 'O']",411.8761102753251
100-14-1,4-Nitrobenzyl chloride,C7H6ClNO2,"['C', 'H', 'Cl', 'N', 'O']",171.0087061193794
100141-30-8,"Acetanilide, 2-chloro-4-tert-butyl-",C12H16ClNO,"['C', 'H', 'Cl', 'N', 'O']",225.09204182219767
100144-29-4,Cyclopentylethynylmethyl carbinol,C9H14O,"['C', 'H', 'O']",138.10446507091768
100144-93-2,Methyldicyclopropylglycolate,C9H14O3,"['C', 'H', 'O']",170.0942943100611
1001-45-2,6-Pentadecanone,C15H30O,"['C', 'H', 'O']",226.2296655867417
100-15-2,"Benzenamine, N-methyl-4-nitro-",C7H8N2O2,"['C', 'H', 'N', 'O']",152.0585775059194
1001-53-2,N-Acetylethylenediamine,C4H10N2O,"['C', 'H', 'N', 'O']",102.07931295082571
1001-56-5,Cyanoallene,C4H3N,"['C', 'H', 'N']",65.026549101149
10016-20-3,&#945;-Cyclodextrin,C36H60O30,"['C', 'H', 'O']",972.316940521491
100-16-3,P-nitrophenyl hydrazine,C6H7N3O2,"['C', 'H', 'N', 'O']",153.0538264781124
10016-52-1,"2,8-Dibromodibenzofuran",C12H6Br2O,"['C', 'H', 'Br', 'O']",323.8785400410057
10017-11-5,"2-Propen-1-amine, hydrochloride",C3H8ClN,"['C', 'H', 'Cl', 'N']",93.034526944714
10017-37-5,Tert-butyl amine hydrochloride,C4H11N.ClH,"['C', 'H', 'N', 'Cl', 'H']",109.06582707367
100-17-4,"Benzene, 1-methoxy-4-nitro-",C7H7NO3,"['C', 'H', 'N', 'O']",153.0425930888201
100182-47-6,"4,5-Dihydrothiophene, 3-methyl-",C5H8S,"['C', 'H', 'S']",100.034671432326
100-18-5,"Benzene, 1,4-bis(1-methylethyl)-",C12H18,"['C', 'H']",162.14085058030201
1001-89-4,"Heptane, 2-chloro-",C7H15Cl,"['C', 'H', 'Cl']",134.086228165955
