x,y
1002,0.9192
1004,1.1405
1007,1.076
1007,0.993
1008,1.0765
1008,0.989
1010,0.8992
1014,0.8781
1014,1.1941
1015,0.9076
1017,0.867
1017,0.8085
1018,0.9934
1019,0.9574
1019,1.1187
1020,0.8636
1020,0.8683
1021,1.0975
1021,0.7931
1021,1.0061
1023,0.9432
1023,0.8426
1023,1.0002
1023,0.7325
1024,1.0447
1025,0.9769
1026,1.2087
1027,0.9671
1028,0.8484
1029,1.0353
1030,1.0521
1030,0.8674
1030,1.044
1031,0.8812
1031,0.8963
1032,1.0571
1032,1.0007
1032,0.6262
1034,1.0327
1035,0.9626
1036,0.8833
1037,1.1874
1037,1.006
1040,1.1034
1041,1.0967
1041,0.8736
1043,1.0366
1045,1.0522
1045,0.8236
1045,1.0008
1045,1.005
1048,1.0639
1049,0.9383
1049,0.9773
1049,1.073
1051,0.9854
1053,1.0755
1053,0.8864
1053,0.9281
1056,1.2094
1056,0.8397
1061,0.8349
1061,1.1255
1062,0.7265
1063,0.9286
1063,0.9221
1066,0.8753
1068,0.9252
1068,0.9884
1069,0.8127
1070,1.1145
1070,0.9769
1071,0.8767
1071,0.871
1072,0.9225
1073,0.9678
1074,0.8675
1075,0.9731
1075,0.9916
1076,0.9543
1076,1.0882
1077,0.9666
1078,1.1172
1080,0.9831
1081,0.9333
1081,0.9674
1082,1.0028
1082,1.078
1082,1.0001
1082,1.0388
1085,0.9677
1086,1.0709
1088,1.153
1089,1.0053
1090,1.0135
1090,1.0005
1090,0.9856
1091,1.1867
1091,1.1458
1092,0.9848
1093,0.9334
1093,0.9682
1093,1.1066
1094,0.9353
1095,1.0795
1096,1.0304
1097,0.9701
1099,1.1087
1100,0.9609
1100,0.8313
1102,0.9287
1104,0.9284
1104,0.92
1104,1.1447
1107,1.0485
1107,1.2053
1107,0.9894
1107,1.0027
1109,1.1297
1109,0.9322
1111,1.0394
1112,0.8805
1112,1.0485
1113,0.9453
1113,1.0805
1113,0.8524
1114,1.0391
1114,1.1202
1116,0.7
1117,0.8826
1117,0.9765
1118,1.0458
1120,1.0103
1120,0.9751
1120,0.9534
1120,0.9725
1121,0.8913
1121,1.0676
1121,1.0964
1122,1.1708
1124,1.0631
1126,0.8474
1126,1.0689
1126,0.9475
1127,1.0071
1128,0.9831
1128,0.9353
1134,1.0236
1135,1.0508
1136,0.8787
1138,0.9116
1141,1.0239
1141,0.8228
1141,1.0058
1141,0.8085
1142,0.7023
1143,1.0763
1144,0.9643
1146,1.009
1146,0.9619
1148,0.8801
1149,1.0193
1150,0.9798
1151,1.0934
1151,1.0014
1151,0.8974
1154,1.0787
1155,1.228
1155,0.8424
1156,0.9835
1156,1.2639
1158,1.0214
1159,1.0137
1160,1.0143
1160,0.9793
1165,0.971
1167,0.9193
1167,1.0169
1167,0.9796
1167,1.0625
1167,1.0618
1168,1.0951
1168,1.0503
1168,1.0678
1170,0.7556
1171,0.9258
1173,0.9762
1173,0.94
1173,1.0308
1174,0.9691
1174,0.9999
1175,1.1469
1176,1.043
1176,0.8646
1178,0.7688
1179,1.1191
1181,1.0765
1182,0.8301
1182,1.0886
1183,1.0231
1183,0.9954
1184,1.125
1188,1.1728
1190,0.9668
1193,0.9331
1197,0.8541
1198,1.1571
1199,0.9291
1201,1.0202
1203,0.9892
1203,0.9811
1204,0.6428
1207,0.9258
1210,0.8917
1219,0.8069
1219,0.9372
1219,0.9689
1220,0.7829
1221,1.0152
1221,1.0495
1221,1.0867
1222,0.8869
1231,0.9774
1232,1.0127
1232,1.098
1235,0.934
1236,0.7329
1239,0.9772
1240,0.8755
1241,1.033
1241,0.8656
1242,0.9674
1242,1.0078
1243,1.0108
1243,1.0877
1248,1.1439
1248,1.1529
1250,0.9305
1253,0.9578
1259,0.8784
1264,0.8833
1266,1.0239
1273,1.0509
1273,0.6736
1273,1.138
1273,0.7243
1275,0.9324
1276,1.0151
1279,1.2159
1280,1.1848
1285,0.8874
1287,0.849
1287,0.8017
1287,1.0248
1290,0.9207
1292,1.0656
1297,0.9854
1303,1.0508
1303,0.9151
1307,0.9324
1309,0.9963
1310,1.0164
1311,1.0743
1316,0.9189
1317,0.85
1319,1.0608
1323,0.8287
1324,1.1798
1328,0.8209
1328,1.0273
1330,0.9841
1334,1.1744
1339,0.9702
1341,0.9533
1343,1.0315
1346,1.0787
1349,1.173
1350,0.8601
1351,1.0391
1352,0.9939
1361,1.0579
1361,0.9735
1367,0.7889
1368,1.0226
1369,0.8728
1372,0.9396
1373,1.0891
1377,0.9531
1379,0.6195
1380,1.0373
1381,1.125
1384,1.2432
1384,1.0133
1385,0.8697
1389,0.8756
1394,1.0903
1395,1.1195
1395,0.9876
1398,1.0059
1398,0.927
1401,1.1762
1401,0.991
1402,0.9021
1403,0.7777
1406,0.8801
1407,0.9528
1411,1.0344
1416,1.0138
1419,1.0027
1421,1.0697
1423,0.9864
1423,1.0954
1425,0.8923
1426,1.0668
1427,0.9115
1427,0.8953
1428,1.0828
1433,1.0386
1440,0.9604
1440,0.9093
1444,1.1293
1446,1.11
1450,0.7459
1452,1.0616
1454,0.8847
1455,0.8926
1455,0.7352
1458,1.4543
1461,1.0257
1461,0.9696
1463,1.0541
1464,1.0344
1473,0.7617
1476,1.0166
1476,0.9962
1478,1.0775
1480,1.1129
1489,0.9555
1492,1.0664
1492,0.9129
1492,1.1235
1493,0.9939
1500,0.8511
1504,1.0413
1508,0.9892
1508,1.149
1508,0.8557
1516,1.0911
1518,0.6829
1519,1.0702
1520,0.9475
1527,0.9033
1528,1.0402
1531,0.9165
1533,1.0228
1541,0.954
1542,0.978
1550,1.1752
1552,0.9024
1553,1.0603
1554,1.0781
1557,0.8103
1569,1.0454
1574,0.9558
1576,1.1165
1576,0.983
1578,0.8795
1583,0.9335
1584,1.0541
1586,1.0193
1588,0.9494
1593,1.0008
1598,0.9904
1599,1.1305
1599,0.89
1601,0.9894
1609,1.188
1614,0.8223
1616,0.897
1630,1.0515
1631,0.9577
1633,0.9931
1640,1.0486
1641,0.7139
1658,1.4026
1667,1.0349
1669,1.1069
1669,0.6347
1674,1.0984
1675,1.0476
1687,0.9722
1698,0.9119
1715,0.8989
1715,0.8865
1725,0.987
1730,1.0309
1730,1.004
1737,0.9874
1743,0.9468
1747,0.9658
1752,1.0638
1759,0.824
1766,1.0974
1770,1.0366
1773,0.8801
1774,0.9986
1779,0.7564
1781,1.0213
1799,0.9957
1810,0.9144
1815,0.7313
1817,0.6987
1822,0.9991
1822,0.9082
1833,0.7815
1845,0.8561
1846,0.9645
1848,0.9691
1849,1.012
1897,0.8753
1901,0.8416
